instance,blocks,bays,objective,T,L,P,runtime_sec,checker_feasible,timed_out,valid_under_time_limit,accepted_for_score,error_message,algorithm_version,report_path,solution_file
prob_10.json,200,4,1697461.0,95.0,2595,2237.0,12.922892,true,false,true,true,,v194,reports\ogc2026_reboot_v001\verify_active_v194_publish_20260626_001\report.html,reports\ogc2026_reboot_v001\verify_active_v194_publish_20260626_001\solutions\active__v194\prob_10.solution.json
prob_11.json,200,4,11154452.0,473.0,487,2554.0,15.111021,true,false,true,true,,v194,reports\ogc2026_reboot_v001\verify_active_v194_publish_20260626_001\report.html,reports\ogc2026_reboot_v001\verify_active_v194_publish_20260626_001\solutions\active__v194\prob_11.solution.json
prob_12.json,200,4,553078.0,8.0,6633,2491.0,23.591585,true,false,true,true,,v194,reports\ogc2026_reboot_v001\verify_active_v194_publish_20260626_001\report.html,reports\ogc2026_reboot_v001\verify_active_v194_publish_20260626_001\solutions\active__v194\prob_12.solution.json
prob_13.json,250,4,13873697.0,713.0,4520,4404.0,12.634160,true,false,true,true,,v194,reports\ogc2026_reboot_v001\verify_active_v194_publish_20260626_001\report.html,reports\ogc2026_reboot_v001\verify_active_v194_publish_20260626_001\solutions\active__v194\prob_13.solution.json
prob_14.json,250,4,4097312.0,198.0,3707,4201.0,33.337258,true,false,true,true,,v194,reports\ogc2026_reboot_v001\verify_active_v194_publish_20260626_001\report.html,reports\ogc2026_reboot_v001\verify_active_v194_publish_20260626_001\solutions\active__v194\prob_14.solution.json
prob_15.json,250,4,890826.0,28.0,3511,3447.0,25.173354,true,false,true,true,,v194,reports\ogc2026_reboot_v001\verify_active_v194_publish_20260626_001\report.html,reports\ogc2026_reboot_v001\verify_active_v194_publish_20260626_001\solutions\active__v194\prob_15.solution.json
prob_19.json,300,4,2765323.0,206.0,6420,4077.0,17.674230,true,false,true,true,,v194,reports\ogc2026_reboot_v001\verify_active_v194_publish_20260626_001\report.html,reports\ogc2026_reboot_v001\verify_active_v194_publish_20260626_001\solutions\active__v194\prob_19.solution.json
prob_20.json,300,5,8239778.0,278.0,3642,6436.0,44.352571,true,false,true,true,,v194,reports\ogc2026_reboot_v001\verify_active_v194_publish_20260626_001\report.html,reports\ogc2026_reboot_v001\verify_active_v194_publish_20260626_001\solutions\active__v194\prob_20.solution.json
prob_38.json,250,3,151254848.0,11120.0,3894,9947.0,47.375313,true,false,true,true,,v194,reports\ogc2026_reboot_v001\verify_active_v194_publish_20260626_001\report.html,reports\ogc2026_reboot_v001\verify_active_v194_publish_20260626_001\solutions\active__v194\prob_38.solution.json
prob_39.json,250,3,48160369.0,3521.0,194,8094.0,56.771915,true,false,true,true,,v194,reports\ogc2026_reboot_v001\verify_active_v194_publish_20260626_001\report.html,reports\ogc2026_reboot_v001\verify_active_v194_publish_20260626_001\solutions\active__v194\prob_39.solution.json
prob_40.json,250,4,5780789.0,8429.0,4947,11823.0,54.714235,true,false,true,true,,v194,reports\ogc2026_reboot_v001\verify_active_v194_publish_20260626_001\report.html,reports\ogc2026_reboot_v001\verify_active_v194_publish_20260626_001\solutions\active__v194\prob_40.solution.json
