instance,blocks,bays,objective,T,L,P,runtime_sec,checker_feasible,timed_out,valid_under_time_limit,accepted_for_score,error_message,algorithm_version,report_path,solution_file
prob_1.json,100,2,606628.0,8.0,1700,1810.0,16.916114,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_1.solution.json
prob_2.json,100,3,76910.0,0.0,1001,446.0,19.778587,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_2.solution.json
prob_3.json,100,3,188500.0,0.0,1225,1175.0,16.733940,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_3.solution.json
prob_4.json,100,2,331591.0,6.0,1669,942.0,13.296297,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_4.solution.json
prob_5.json,150,3,169685.0,0.0,1505,1061.0,21.763771,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_5.solution.json
prob_6.json,150,3,715812.0,7.0,1936,3299.0,35.490412,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_6.solution.json
prob_7.json,150,3,242600.0,0.0,3200,1468.0,24.650847,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_7.solution.json
prob_8.json,150,2,85472.0,0.0,1068,406.0,11.991815,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_8.solution.json
prob_9.json,200,3,180488.0,1.0,1391,1068.0,37.848461,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_9.solution.json
prob_10.json,200,4,1274865.0,66.0,2577,2232.0,22.621869,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_10.solution.json
prob_11.json,200,4,8364652.0,351.0,366,2551.0,42.088649,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_11.solution.json
prob_12.json,200,4,553078.0,8.0,6633,2491.0,24.663280,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_12.solution.json
prob_13.json,250,4,9876799.0,498.0,4384,4433.0,35.510059,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_13.solution.json
prob_14.json,250,4,3795716.0,181.0,3301,4221.0,55.143352,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_14.solution.json
prob_15.json,250,4,844023.0,25.0,3465,3431.0,40.558423,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_15.solution.json
prob_16.json,250,4,176817.0,0.0,2938,1219.0,12.507756,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_16.solution.json
prob_17.json,300,4,338183.0,13.0,5749,1422.0,18.925847,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_17.solution.json
prob_18.json,300,4,264994.0,0.0,3406,1890.0,22.023400,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_18.solution.json
prob_19.json,300,4,2072414.0,140.0,6638,4154.0,37.917239,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_19.solution.json
prob_20.json,300,5,5199740.0,164.0,3642,6436.0,55.951596,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_20.solution.json
prob_21.json,100,3,9383482.0,664.0,522,3501.0,10.431112,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_21.solution.json
prob_22.json,100,2,1837996.0,26.0,2446,3710.0,16.005939,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_22.solution.json
prob_23.json,100,2,20686068.0,1497.0,35,1940.0,21.043184,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_23.solution.json
prob_24.json,100,3,2981583.0,166.0,1381,2538.0,43.065740,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_24.solution.json
prob_25.json,100,2,1454484.0,2089.0,241,3044.0,31.564783,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_25.solution.json
prob_26.json,150,3,31708207.0,2305.0,2556,6385.0,25.372682,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_26.solution.json
prob_27.json,150,2,75028700.0,5456.0,1926,5700.0,45.899796,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_27.solution.json
prob_28.json,150,3,18836666.0,1310.0,1012,4558.0,25.722663,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_28.solution.json
prob_29.json,150,3,7782572.0,446.0,3918,6081.0,46.842370,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_29.solution.json
prob_30.json,150,2,31302610.0,2302.0,3211,2986.0,17.119524,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_30.solution.json
prob_31.json,200,4,39589844.0,2735.0,1843,11680.0,53.485779,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_31.solution.json
prob_32.json,200,3,12781706.0,2992.0,2434,4662.0,49.443040,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_32.solution.json
prob_33.json,200,3,26172225.0,3805.0,1094,5289.0,39.134756,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_33.solution.json
prob_34.json,200,4,8002714.0,1595.0,2702,5005.0,28.325298,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_34.solution.json
prob_35.json,200,3,22037108.0,1591.0,8081,5226.0,36.034733,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_35.solution.json
prob_36.json,250,4,1499988.0,2010.0,1381,12149.0,45.309991,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_36.solution.json
prob_37.json,250,3,17644653.0,3961.0,3660,7380.0,52.198277,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_37.solution.json
prob_38.json,250,3,151254848.0,11120.0,3894,9947.0,56.107425,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_38.solution.json
prob_39.json,250,3,48160369.0,3521.0,194,8094.0,57.981596,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_39.solution.json
prob_40.json,250,4,5780789.0,8429.0,4947,11823.0,56.059161,true,false,true,true,,baseline_hh_v267_loaderfix,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\report.html,reports\ogc2026_reboot_v001\full_active_v267_baseline_hh_py_20260628_001\solutions\hh_active__baseline_hh_v267_loaderfix\prob_40.solution.json
