instance,blocks,bays,objective,T,L,P,runtime_sec,checker_feasible,timed_out,valid_under_time_limit,accepted_for_score,error_message,algorithm_version,report_path,solution_file
prob_1.json,100,2,693901.0,11.0,1700,1810.0,15.704078,true,false,true,true,,reboot_v083_20260619_2106_prob38like_on_stable_prob33_parent,reports\ogc2026_reboot_v001\full_recheck_v083_train40_20260619_001\report.html,reports\ogc2026_reboot_v001\full_recheck_v083_train40_20260619_001\solutions\hh__reboot_v083_20260619_2106_prob38like_on_stable_prob33_parent\prob_1.solution.json
prob_2.json,100,3,76910.0,0.0,1001,446.0,13.180260,true,false,true,true,,reboot_v083_20260619_2106_prob38like_on_stable_prob33_parent,reports\ogc2026_reboot_v001\full_recheck_v083_train40_20260619_001\report.html,reports\ogc2026_reboot_v001\full_recheck_v083_train40_20260619_001\solutions\hh__reboot_v083_20260619_2106_prob38like_on_stable_prob33_parent\prob_2.solution.json
prob_3.json,100,3,213297.0,1.0,1668,1133.0,11.135945,true,false,true,true,,reboot_v083_20260619_2106_prob38like_on_stable_prob33_parent,reports\ogc2026_reboot_v001\full_recheck_v083_train40_20260619_001\report.html,reports\ogc2026_reboot_v001\full_recheck_v083_train40_20260619_001\solutions\hh__reboot_v083_20260619_2106_prob38like_on_stable_prob33_parent\prob_3.solution.json
prob_4.json,100,2,387915.0,8.0,1853,998.0,10.763611,true,false,true,true,,reboot_v083_20260619_2106_prob38like_on_stable_prob33_parent,reports\ogc2026_reboot_v001\full_recheck_v083_train40_20260619_001\report.html,reports\ogc2026_reboot_v001\full_recheck_v083_train40_20260619_001\solutions\hh__reboot_v083_20260619_2106_prob38like_on_stable_prob33_parent\prob_4.solution.json
prob_5.json,150,3,169685.0,0.0,1505,1061.0,15.174606,true,false,true,true,,reboot_v083_20260619_2106_prob38like_on_stable_prob33_parent,reports\ogc2026_reboot_v001\full_recheck_v083_train40_20260619_001\report.html,reports\ogc2026_reboot_v001\full_recheck_v083_train40_20260619_001\solutions\hh__reboot_v083_20260619_2106_prob38like_on_stable_prob33_parent\prob_5.solution.json
prob_6.json,150,3,756030.0,9.0,1980,3170.0,22.111485,true,false,true,true,,reboot_v083_20260619_2106_prob38like_on_stable_prob33_parent,reports\ogc2026_reboot_v001\full_recheck_v083_train40_20260619_001\report.html,reports\ogc2026_reboot_v001\full_recheck_v083_train40_20260619_001\solutions\hh__reboot_v083_20260619_2106_prob38like_on_stable_prob33_parent\prob_6.solution.json
prob_7.json,150,3,242600.0,0.0,3200,1468.0,17.750829,true,false,true,true,,reboot_v083_20260619_2106_prob38like_on_stable_prob33_parent,reports\ogc2026_reboot_v001\full_recheck_v083_train40_20260619_001\report.html,reports\ogc2026_reboot_v001\full_recheck_v083_train40_20260619_001\solutions\hh__reboot_v083_20260619_2106_prob38like_on_stable_prob33_parent\prob_7.solution.json
prob_8.json,150,2,85472.0,0.0,1068,406.0,12.705528,true,false,true,true,,reboot_v083_20260619_2106_prob38like_on_stable_prob33_parent,reports\ogc2026_reboot_v001\full_recheck_v083_train40_20260619_001\report.html,reports\ogc2026_reboot_v001\full_recheck_v083_train40_20260619_001\solutions\hh__reboot_v083_20260619_2106_prob38like_on_stable_prob33_parent\prob_8.solution.json
prob_9.json,200,3,180488.0,1.0,1391,1068.0,26.047197,true,false,true,true,,reboot_v083_20260619_2106_prob38like_on_stable_prob33_parent,reports\ogc2026_reboot_v001\full_recheck_v083_train40_20260619_001\report.html,reports\ogc2026_reboot_v001\full_recheck_v083_train40_20260619_001\solutions\hh__reboot_v083_20260619_2106_prob38like_on_stable_prob33_parent\prob_9.solution.json
prob_10.json,200,4,5667274.0,367.0,2615,2338.0,8.926317,true,false,true,true,,reboot_v083_20260619_2106_prob38like_on_stable_prob33_parent,reports\ogc2026_reboot_v001\full_recheck_v083_train40_20260619_001\report.html,reports\ogc2026_reboot_v001\full_recheck_v083_train40_20260619_001\solutions\hh__reboot_v083_20260619_2106_prob38like_on_stable_prob33_parent\prob_10.solution.json
