instance,blocks,bays,objective,T,L,P,runtime_sec,checker_feasible,timed_out,valid_under_time_limit,accepted_for_score,error_message,algorithm_version,report_path,solution_file
prob_1.json,100,2,693901.0,11.0,1700,1810.0,12.087535,true,false,true,true,,revalidate_active_v050_current,reports\ogc2026_reboot_v001\full_active_v050_revalidate_20260617_001\report.html,reports\ogc2026_reboot_v001\full_active_v050_revalidate_20260617_001\solutions\hh__revalidate_active_v050_current\prob_1.solution.json
prob_2.json,100,3,76910.0,0.0,1001,446.0,10.388593,true,false,true,true,,revalidate_active_v050_current,reports\ogc2026_reboot_v001\full_active_v050_revalidate_20260617_001\report.html,reports\ogc2026_reboot_v001\full_active_v050_revalidate_20260617_001\solutions\hh__revalidate_active_v050_current\prob_2.solution.json
prob_3.json,100,3,213297.0,1.0,1668,1133.0,8.825562,true,false,true,true,,revalidate_active_v050_current,reports\ogc2026_reboot_v001\full_active_v050_revalidate_20260617_001\report.html,reports\ogc2026_reboot_v001\full_active_v050_revalidate_20260617_001\solutions\hh__revalidate_active_v050_current\prob_3.solution.json
prob_4.json,100,2,387915.0,8.0,1853,998.0,8.928070,true,false,true,true,,revalidate_active_v050_current,reports\ogc2026_reboot_v001\full_active_v050_revalidate_20260617_001\report.html,reports\ogc2026_reboot_v001\full_active_v050_revalidate_20260617_001\solutions\hh__revalidate_active_v050_current\prob_4.solution.json
prob_5.json,150,3,169685.0,0.0,1505,1061.0,18.860906,true,false,true,true,,revalidate_active_v050_current,reports\ogc2026_reboot_v001\full_active_v050_revalidate_20260617_001\report.html,reports\ogc2026_reboot_v001\full_active_v050_revalidate_20260617_001\solutions\hh__revalidate_active_v050_current\prob_5.solution.json
prob_6.json,150,3,27822074.0,920.0,2782,3620.0,24.979855,true,false,true,true,,revalidate_active_v050_current,reports\ogc2026_reboot_v001\full_active_v050_revalidate_20260617_001\report.html,reports\ogc2026_reboot_v001\full_active_v050_revalidate_20260617_001\solutions\hh__revalidate_active_v050_current\prob_6.solution.json
prob_7.json,150,3,242600.0,0.0,3200,1468.0,23.451488,true,false,true,true,,revalidate_active_v050_current,reports\ogc2026_reboot_v001\full_active_v050_revalidate_20260617_001\report.html,reports\ogc2026_reboot_v001\full_active_v050_revalidate_20260617_001\solutions\hh__revalidate_active_v050_current\prob_7.solution.json
prob_8.json,150,2,85472.0,0.0,1068,406.0,15.179956,true,false,true,true,,revalidate_active_v050_current,reports\ogc2026_reboot_v001\full_active_v050_revalidate_20260617_001\report.html,reports\ogc2026_reboot_v001\full_active_v050_revalidate_20260617_001\solutions\hh__revalidate_active_v050_current\prob_8.solution.json
prob_9.json,200,3,12566025.0,905.0,1382,3285.0,27.194796,true,false,true,true,,revalidate_active_v050_current,reports\ogc2026_reboot_v001\full_active_v050_revalidate_20260617_001\report.html,reports\ogc2026_reboot_v001\full_active_v050_revalidate_20260617_001\solutions\hh__revalidate_active_v050_current\prob_9.solution.json
prob_10.json,200,4,5667274.0,367.0,2615,2338.0,9.950115,true,false,true,true,,revalidate_active_v050_current,reports\ogc2026_reboot_v001\full_active_v050_revalidate_20260617_001\report.html,reports\ogc2026_reboot_v001\full_active_v050_revalidate_20260617_001\solutions\hh__revalidate_active_v050_current\prob_10.solution.json
